City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Savonlinna,61.87,28.88,10.0,93,29,0.5,FI,1596317765
Cam Ranh,11.92,109.16,29.0,79,75,6.7,VN,1596317765
Aykhal,66.0,111.5,14.0,62,22,2.0,RU,1596317766
Magadan,59.57,150.8,14.82,59,31,0.89,RU,1596317766
Filingué,14.35,3.32,32.06,43,22,4.62,NE,1596317766
Verkhnyaya Inta,65.98,60.31,9.4,89,0,2.06,RU,1596317766
Sorong,-0.88,131.25,24.28,90,92,5.61,ID,1596317767
Along,28.17,94.77,23.44,89,61,0.19,IN,1596317767
Touros,-5.2,-35.46,26.0,78,75,5.1,BR,1596317767
Tura,25.52,90.22,24.81,85,70,1.03,IN,1596317767
Brežice,45.9,15.59,26.67,83,0,2.1,SI,1596317768
Zliten,32.47,14.57,26.09,67,0,1.97,LY,1596317768
Kindu,-2.95,25.95,24.53,59,58,0.68,CD,1596317768
Yulara,-25.24,130.99,4.0,41,0,3.1,AU,1596317768
Opuwo,-18.06,13.84,16.44,32,0,4.38,NA,1596317769
Port Hardy,50.7,-127.42,21.0,60,75,4.6,CA,1596317769
Chui,-33.7,-53.46,11.01,82,0,3.57,UY,1596317769
Departamento de Maldonado,-34.67,-54.92,14.44,87,57,4.6,UY,1596317505
Dickinson,29.46,-95.05,29.44,66,75,2.1,US,1596317683
Mahajanga,-15.72,46.32,23.03,49,8,6.38,MG,1596317770
Chamrajnagar,11.92,76.95,21.08,92,100,3.51,IN,1596317770
Nyahururu,0.04,36.37,10.04,87,4,1.94,KE,1596317770
Adrar,20.5,-10.07,38.72,12,3,3.96,MR,1596317771
Verkhnyaya Toyma,62.23,45.0,8.05,94,0,1.8,RU,1596317771
Dhidhdhoo,6.88,73.1,28.14,76,100,7.8,MV,1596317771
Ribas do Rio Pardo,-20.44,-53.76,24.35,38,0,3.84,BR,1596317771
Gravdal,68.12,13.5,14.03,81,1,3.05,NO,1596317617
Bahía Solano,6.23,-77.4,27.79,81,61,2.52,CO,1596317772
Saint Paul Harbor,57.79,-152.41,14.0,82,90,4.1,US,1596317617
Kostomuksha,64.57,30.58,9.44,86,96,1.27,RU,1596317772
Bowen,-20.02,148.23,18.89,82,90,4.6,AU,1596317772
Fare,-16.7,-151.02,26.26,81,28,5.98,PF,1596317773
Cuamba,-14.8,36.54,16.64,83,53,2.92,MZ,1596317773
Niterói,-22.88,-43.1,23.0,73,75,7.2,BR,1596317773
Urengoy,65.97,78.37,14.7,85,100,6.72,RU,1596317773
Macas,-2.32,-78.12,26.0,57,40,1.0,EC,1596317773
Siilinjärvi,63.08,27.67,15.0,77,88,2.6,FI,1596317774
Ambon City,-3.7,128.18,25.0,88,75,2.1,ID,1596317774
Uglegorskiy,48.24,41.25,16.71,63,3,0.24,RU,1596317774
Angoche,-16.23,39.91,21.98,83,20,5.12,MZ,1596317774
Ponta Delgada,37.73,-25.67,22.0,68,75,3.6,PT,1596317714
Miraflores,19.22,-98.81,24.0,43,75,5.1,MX,1596317775
Byron Bay,-28.65,153.62,10.56,100,20,2.6,AU,1596317775
Tocopilla,-22.09,-70.2,16.67,55,23,2.08,CL,1596317776
Nabire,-3.37,135.48,24.17,89,99,1.98,ID,1596317776
Kanganpur,30.77,74.12,32.6,53,30,2.42,PK,1596317776
Yadrin,55.94,46.21,13.27,96,100,4.23,RU,1596317776
Ossora,59.24,163.07,17.05,57,0,6.03,RU,1596317777
Pasni,25.26,63.47,29.11,81,21,3.21,PK,1596317778
Thinadhoo,0.53,72.93,28.3,77,100,5.46,MV,1596317778
Nishihara,26.18,127.76,28.0,88,75,4.6,JP,1596317539
Misawa,40.68,141.36,20.0,100,90,1.5,JP,1596317778
Kabare,-2.47,28.82,17.08,65,75,1.04,CD,1596317779
Muisne,0.6,-80.03,29.0,83,75,3.6,EC,1596317779
Hervey Bay,-25.3,152.85,14.44,91,52,1.79,AU,1596317632
Los Alamos,35.89,-106.31,29.44,26,1,4.6,US,1596317779
Cocachacra,-17.09,-71.76,16.35,73,93,1.92,PE,1596317780
Margate,51.38,1.39,18.89,73,35,0.89,GB,1596317567
Wanning,18.8,110.4,27.18,85,90,4.61,CN,1596317780
Birao,10.28,22.79,22.33,94,100,1.16,CF,1596317780
Nuuk,64.18,-51.72,9.0,87,90,12.3,GL,1596317323
Santa Maria da Boa Vista,-8.81,-39.83,25.91,49,96,7.2,BR,1596317781
Marsh Harbour,26.54,-77.06,28.26,80,99,13.19,BS,1596317781
Ishigaki,24.34,124.16,28.0,88,75,7.7,JP,1596317781
Port Hedland,-20.32,118.57,13.0,37,0,3.1,AU,1596317782
Kuril'sk,45.23,147.88,17.14,87,99,3.99,RU,1596317782
Pandan,14.05,124.17,26.29,80,100,2.74,PH,1596317782
São Filipe,14.9,-24.5,25.05,84,13,3.55,CV,1596317782
Mitsamiouli,-11.38,43.28,24.88,76,0,3.64,KM,1596317782
Mizdah,31.45,12.98,23.81,40,0,2.47,LY,1596317783
Henties Bay,-22.12,14.28,21.01,31,0,3.12,NA,1596317783
Anadyr,64.75,177.48,12.0,71,75,4.0,RU,1596317783
Arlit,18.74,7.39,31.66,42,100,1.18,NE,1596317621
Puerto Maldonado,-12.6,-69.18,28.02,46,0,1.14,PE,1596317784
Aksu,41.12,80.26,25.18,26,100,1.19,CN,1596317784
Praia da Vitória,38.73,-27.07,24.0,60,20,3.05,PT,1596317784
Zaoyang,32.13,112.75,26.8,79,89,4.38,CN,1596317785
Abashiri,44.02,144.27,21.67,81,100,0.89,JP,1596317785
Faya,18.39,42.45,20.0,93,91,4.68,SA,1596317785
Yasnyy,51.03,59.87,23.43,27,23,4.61,RU,1596317785
Stokmarknes,68.56,14.91,12.22,90,14,2.49,NO,1596317786
Najrān,17.49,44.13,30.0,48,40,4.1,SA,1596317786
Pokhara,28.23,83.98,22.46,82,93,0.72,NP,1596317786
Mackay,-21.15,149.2,16.0,87,43,4.1,AU,1596317787
Ambovombe,-25.17,46.08,17.03,73,0,6.34,MG,1596317787
Mattru,7.62,-11.83,22.69,96,100,1.82,SL,1596317787
Naze,28.37,129.48,25.0,94,58,1.0,JP,1596317788
San Patricio,19.22,-104.7,31.0,74,20,5.1,MX,1596317788
Ganzhou,28.82,115.43,26.74,82,20,1.38,CN,1596317789
Lüderitz,-26.65,15.16,24.0,19,0,4.1,NA,1596317789
Znamenskoye,57.13,73.83,16.13,94,21,1.25,RU,1596317789
Manta,-0.95,-80.73,28.0,65,40,5.7,EC,1596317688
Río Gallegos,-51.62,-69.22,2.0,93,90,0.5,AR,1596317790
Coahuayana Viejo,18.73,-103.68,30.0,62,40,5.1,MX,1596317790
Biak,-0.91,122.88,24.17,85,84,2.93,ID,1596317565
Biskamzha,53.45,89.53,8.91,86,85,1.17,RU,1596317790
Akola,20.73,77.0,28.14,76,31,1.46,IN,1596317791
Nieuw Amsterdam,5.88,-55.08,26.0,88,40,2.6,SR,1596317791
Uslar,51.66,9.63,20.56,80,71,0.43,DE,1596317791
Wajir,1.75,40.06,23.33,65,0,8.74,KE,1596317605
Lakes Entrance,-37.88,147.98,8.89,75,0,0.45,AU,1596317792
Laas,46.62,10.7,17.78,82,91,3.1,IT,1596317792
Sfântu Gheorghe,45.87,25.78,12.84,87,53,0.26,RO,1596317792
Gushikawa,26.35,127.87,28.0,83,1,4.6,JP,1596317792
Fergus Falls,46.28,-96.08,25.0,53,1,8.7,US,1596317569
Broome,42.25,-75.83,29.44,44,20,3.1,US,1596317567
Parrsboro,45.4,-64.33,24.44,59,10,2.24,CA,1596317793
Vestmannaeyjar,63.44,-20.27,11.27,94,100,6.75,IS,1596317793
Sandpoint,48.28,-116.55,33.33,30,1,3.1,US,1596317794
Belmonte,-15.86,-38.88,28.0,83,20,0.5,BR,1596317597
Morros,-9.45,-46.3,25.22,38,1,2.51,BR,1596317794
Le Moule,16.33,-61.35,29.0,70,52,4.1,GP,1596317794
Changji,44.02,87.32,23.0,33,0,2.0,CN,1596317795
Olesno,50.88,18.42,17.78,100,0,2.74,PL,1596317795
Mount Gambier,-37.83,140.77,7.0,100,90,3.6,AU,1596317795
Mayya,61.73,130.28,11.0,66,3,2.0,RU,1596317795
Korla,41.76,86.15,26.05,25,94,3.78,CN,1596317691
Taoudenni,22.68,-3.98,40.65,9,0,3.04,ML,1596317796
Bima,-8.47,118.72,19.76,87,91,1.54,ID,1596317796
Latung,5.5,120.88,27.22,79,100,5.19,PH,1596317796
Bubaque,11.28,-15.83,27.23,82,100,4.48,GW,1596317797
Călan,45.73,22.98,14.52,77,0,0.51,RO,1596317797
Mimongo,-1.62,11.61,21.77,80,78,2.03,GA,1596317797
Djambala,-2.54,14.75,26.03,50,91,1.45,CG,1596317797
Gorontalo,0.54,123.06,23.54,90,94,0.99,ID,1596317798
Pingliang,35.54,106.69,16.77,73,0,0.54,CN,1596317593
Manaure,11.78,-72.44,31.0,79,20,6.2,CO,1596317798
Salina,38.84,-97.61,30.0,51,1,1.5,US,1596317798
Mayo,38.89,-76.51,30.0,74,1,3.6,US,1596317798
Bhatkal,13.97,74.57,25.84,84,99,3.78,IN,1596317799
Metro,-5.11,105.31,21.06,87,65,1.64,ID,1596317799
Caruray,10.31,119.01,26.52,78,100,2.36,PH,1596317800
Trenggalek,-8.05,111.72,22.05,87,83,1.93,ID,1596317800
Karpathos,35.51,27.21,26.0,78,0,11.3,GR,1596317800
Jayanca,-6.39,-79.82,26.67,55,0,2.24,PE,1596317801
Hirara,24.8,125.28,29.09,79,80,11.59,JP,1596317801
Hirado,33.36,129.55,25.56,83,60,1.34,JP,1596317801
Quatre Cocos,-20.21,57.76,22.0,83,75,7.7,MU,1596317801
Khovd,48.01,91.64,12.56,52,0,0.69,MN,1596317699
Beni Suef,29.07,31.1,26.88,41,0,3.99,EG,1596317802
Prince Rupert,54.32,-130.32,19.0,68,90,5.7,CA,1596317802
Joué-lès-Tours,47.35,0.67,22.0,56,49,2.1,FR,1596317802
Zhigansk,66.77,123.37,13.78,58,0,6.87,RU,1596317560
Makakilo City,21.35,-158.09,31.0,40,1,3.1,US,1596317574
Vila Franca do Campo,37.72,-25.43,22.0,68,75,3.6,PT,1596317803
Malumfashi,11.79,7.62,23.68,86,61,4.19,NG,1596317803
kimparana,12.83,-4.92,26.73,70,40,2.95,ML,1596317804
Port Macquarie,-31.43,152.92,8.89,98,1,1.64,AU,1596317804
Poronaysk,49.22,143.12,15.74,95,93,5.79,RU,1596317804
La Ciotat,43.17,5.6,32.22,35,18,3.08,FR,1596317804
Dubai,25.26,55.3,36.0,53,38,2.6,AE,1596317731
Sur,22.57,59.53,28.79,72,12,5.2,OM,1596317805
Lata,40.16,-8.33,19.44,72,0,2.68,PT,1596317614
Okhotsk,59.38,143.3,16.23,61,0,1.93,RU,1596317805
Bilibino,68.05,166.44,8.65,78,100,1.12,RU,1596317805
